data,ms
2021-10-11 21:39:59,339  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:39:59,339  INFO --- MqttFX ClientModel             : messageArrived() added: message #16 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:40:07,041  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:40:07,042  INFO --- MqttFX ClientModel             : messageArrived() added: message #17 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:40:09,759  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:40:09,759  INFO --- MqttFX ClientModel             : messageArrived() added: message #18 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:40:12,830  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:40:12,830  INFO --- MqttFX ClientModel             : messageArrived() added: message #19 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:40:15,221  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:40:15,221  INFO --- MqttFX ClientModel             : messageArrived() added: message #20 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:40:17,651  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:40:17,651  INFO --- MqttFX ClientModel             : messageArrived() added: message #21 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:40:20,247  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:40:20,248  INFO --- MqttFX ClientModel             : messageArrived() added: message #22 to topic 'ucb/iot/group7/esp32/1/leds/red'
2021-10-11 21:40:22,315  INFO --- MqttFX ClientModel             : messageArrived() with topic: ucb/iot/group7/esp32/1/leds/red
2021-10-11 21:40:22,315  INFO --- MqttFX ClientModel             : messageArrived() added: message #23 to topic 'ucb/iot/group7/esp32/1/leds/red'
